i_ano_compt;i_mes_compt;i_desc_car_int_atend;i_desc_complex_proc;i_desc_estab_cnes;i_desc_proc_realizado;i_qtd;id
2022;2;BPA-C;Média complexidade;0010456 - HBDF;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;2;18604
2022;9;Eletivo;Média complexidade;0010472 - HRG;0407010254 - RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA;21;20704
2022;9;BPA-C;Média complexidade;9622845 - CEO - Policlínica Taguatinga;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;2;20868
2022;8;Eletivo;Alta complexidade;0010510 - HUB;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;3;20428
2022;2;BPA-C;Média complexidade;0010502 - HRS;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;3;18665
2022;3;BPA-C;Média complexidade;9622845 - CEO Policl Taguatinga;0414010361 - EXERESE DE CISTO ODONTOGÊNICO E NÃO-ODONTOGÊNICO;1;19087
2022;6;BPA-C;Média complexidade;0010499 - HRT;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;17;19842
2022;10;BPA-C;Média complexidade;9580816 - Cent. Espec. Saúde Mulher;0409060097 - EXERESE DE POLIPO DE UTERO;1;21147
2022;8;Eletivo;Média complexidade;5717515 - HRSM;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;16;20522
2022;5;Eletivo;Média complexidade;0010499 - HRT;0405050089 - EXERESE DE TUMOR DE CONJUNTIVA;2;19525
2022;10;Eletivo;Média complexidade;0010537 - HMIB;0414020154 - GENGIVECTOMIA (POR SEXTANTE);2;21050
2022;11;BPA-C;Média complexidade;0010502 - HRS;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);4;21307
2022;8;Eletivo;Média complexidade;0010464 - HRAN;0404020054 - DRENAGEM DE ABSCESSO DA BOCA E ANEXOS;2;20380
2022;11;BPA-C;Média complexidade;9772243 - CEO - Paranoá;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;14;21503
2022;10;Eletivo;Média complexidade;0010464 - HRAN;0409040240 - VASECTOMIA;32;20981
2022;9;BPA-C;Atenção Básica;9622845 - CEO - Policlínica Taguatinga;0414020120 - EXODONTIA DE DENTE DECÍDUO;2;20865
2022;2;BPA-C;Média complexidade;0010456 - HBDF;0404010091 - DUCHA DE POLITZER (UNI / BILATERAL);11;18592
2022;5;BPA-C;Média complexidade;0010480 - HRC;0409050067 - PLASTICA DE FREIO BALANO-PREPUCIAL;1;19510
2022;8;Eletivo;Alta complexidade;2779420 - Davita NEFRO Asa Sul;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;4;20493
2022;5;Eletivo;Alta complexidade;0010510 - HUB;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;3;19537
2022;12;BPA-C;Média complexidade;9772243 - CEO - Paranoá;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;1;21802
2022;9;BPA-C;Média complexidade;0010499 - HRT;0405050259 - RETIRADA DE CORPO ESTRANHO DA CORNEA;64;20709
2022;10;Eletivo;Média complexidade;0010456 - HBDF;0404010318 - RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ;74;20944
2022;11;BPA-C;Média complexidade;0010472 - HRG;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;28;21280
2022;9;BPA-C;Média complexidade;9622918 - CEO - Taguatinga;0414020081 - ENXERTO GENGIVAL;6;20876
2022;6;Eletivo;Média complexidade;0010510 - HUB;0414020367 - TRATAMENTO CIRÚRGICO PARA TRACIONAMENTO DENTAL;1;19880
2022;7;BPA-C;Média complexidade;9578560 - CEO 11 - Ceilândia;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);31;20246
2022;3;Eletivo;Média complexidade;0010537 - HMIB;0414020154 - GENGIVECTOMIA (POR SEXTANTE);1;18991
2022;6;Eletivo;Média complexidade;5717515 - HRSM;0406020620 - RETIRADA DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTÁVEL;1;19947
2022;4;Eletivo;Média complexidade;0010510 - HUB;0405010010 - CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO;1;19252
2022;9;Eletivo;Alta complexidade;0010510 - HUB;0418020027 - LIGADURA DE FISTULA ARTERIO-VENOSA;1;20725
2022;8;BPA-C;Média complexidade;9414754 - Policlínica Sobradinho;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;5;20546
2022;10;BPA-C;Média complexidade;9622845 - CEO - Policlínica Taguatinga;0414020375 - TRATAMENTO CIRÚRGICO PERIODONTAL (POR SEXTANTE);6;21164
2022;1;BPA-C;Média complexidade;9690735 - CEO-Planaltina;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);30;18567
2022;4;Eletivo;Média complexidade;0010472 - HRG;0408010134 - REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL;1;19217
2022;10;BPA-C;Média complexidade;9676473 - CEO - Ceilândia I;0414020154 - GENGIVECTOMIA (POR SEXTANTE);1;21175
2022;10;Eletivo;Média complexidade;5717515 - HRSM;0404020097 - EXCISÃO E SUTURA DE LESÃO NA BOCA;18;21097
2022;10;Eletivo;Média complexidade;0010456 - HBDF;0405040075 - EVISCERACAO DE GLOBO OCULAR;10;20957
2022;6;Eletivo;Média complexidade;0010510 - HUB;0414020049 - CORREÇÃO DE BRIDAS MUSCULARES;1;19870
2022;3;BPA-C;Média complexidade;9690735 - CEO-Planaltina;0414020154 - GENGIVECTOMIA (POR SEXTANTE);3;19120
2022;3;Eletivo;Alta complexidade;0010464 - HRAN;0413010031 - CURATIVO EM GRANDE QUEIMADO;96;18888
2022;2;Eletivo;Média complexidade;3055450 - CBV;0405030150 - VITRIOLISE A YAG LASER;6;18738
2022;1;BPA-C;Média complexidade;0010472 - HRG;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;28;18381
2022;8;BPA-C;Média complexidade;0010456 - HBDF;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;1;20341
2022;7;Eletivo;Média complexidade;9690735 - CEO - Planaltina;0404020054 - DRENAGEM DE ABSCESSO DA BOCA E ANEXOS;2;20288
2022;8;Eletivo;Média complexidade;0010499 - HRT;0405010184 - TRATAMENTO CIRURGICO DE BLEFAROCALASE;7;20417
2022;4;BPA-C;Média complexidade;9778136 - CEO - Asa Norte;0414020200 - MARSUPIALIZAÇÃO DE CISTOS E PSEUDOCISTOS;1;19432
2022;7;BPA-C;Média complexidade;9676473 - CEO - Ceilândia I;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;5;20277
2022;10;Eletivo;Média complexidade;5717515 - HRSM;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;77;21106
2022;12;Eletivo;Atenção Básica;0010510 - HUB;0414020138 - EXODONTIA DE DENTE PERMANENTE;61;21603
2022;5;BPA-C;Média complexidade;0010464 - HRAN;0406020140 - EXCISAO E SUTURA DE LINFANGIOMA / NEVUS;6;19483
2022;12;BPA-C;Média complexidade;9578560 - CEO 11 - Ceilândia;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;1;21743
2022;12;Eletivo;Alta complexidade;0010464 - HRAN;0413010031 - CURATIVO EM GRANDE QUEIMADO;56;21558
2022;9;Eletivo;Média complexidade;3055450 - CBV;0405030150 - VITRIOLISE A YAG LASER;2;20795
2022;11;Eletivo;Média complexidade;6876617 - HCB;0406020620 - RETIRADA DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTÁVEL;2;21426
2022;11;Eletivo;Alta complexidade;2779420 - Davita NEFRO Asa Sul;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;4;21367
2022;9;BPA-C;Média complexidade;0010464 - HRAN;0405010168 - SONDAGEM DE VIAS LACRIMAIS;1;20683
2022;12;BPA-C;Média complexidade;6708714 - UPA Tipo III Samambaia;0415040043 - DEBRIDAMENTO DE ULCERA / NECROSE;1;21712
2022;11;BPA-C;Média complexidade;0010499 - HRT;0405010141 - SIMBLEFAROPLASTIA;1;21294
2022;6;Eletivo;Média complexidade;0010456 - HBDF;0405030070 - RETINOPEXIA C/ INTROFLEXAO ESCLERAL;1;19788
2022;8;Eletivo;Média complexidade;0010456 - HBDF;0407040196 - PARACENTESE ABDOMINAL;10;20364
2022;8;BPA-C;Atenção Básica;0011339 - FHB;0414020138 - EXODONTIA DE DENTE PERMANENTE;5;20481
2022;9;BPA-C;Atenção Básica;9676473 - CEO - Ceilândia I;0414020138 - EXODONTIA DE DENTE PERMANENTE;29;20881
2022;12;Eletivo;Média complexidade;0010472 - HRG;0408050250 - REDUCAO INCRUENTA DE FRATURA OU LESAO FISARIA DO JOELHO;1;21580
2022;5;Eletivo;Média complexidade;6876617 - HCB;0412050170 - TORACOCENTESE/DRENAGEM DE PLEURA;1;19653
2022;8;Eletivo;Média complexidade;0010537 - HMIB;0414020073 - CURETAGEM PERIAPICAL;40;20472
2022;12;Eletivo;Alta complexidade;0010456 - HBDF;0405050372 - FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL;91;21515
2022;12;BPA-C;Média complexidade;9620311 - Policlínica Guará I;0404010270 - REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL;3;21747
2022;6;Eletivo;Média complexidade;3055450 - CBV;0405030215 - RETINOPEXIA PNEUMÁTICA;22;19925
2022;7;BPA-C;Atenção Básica;9622845 - CEO - Policlínica Taguatinga;0414020120 - EXODONTIA DE DENTE DECÍDUO;8;20257
2022;1;Eletivo;Atenção Básica;9622845 - CEO Policl Taguatinga;0414020138 - EXODONTIA DE DENTE PERMANENTE;2;18541
2022;6;BPA-C;Atenção Básica;0011339 - FHB;0414020138 - EXODONTIA DE DENTE PERMANENTE;5;19910
2022;4;BPA-C;Atenção Básica;6876617 - HCB;0414020138 - EXODONTIA DE DENTE PERMANENTE;2;19333
2022;3;Eletivo;Média complexidade;0010510 - HUB;0414020073 - CURETAGEM PERIAPICAL;91;18968
2022;11;BPA-C;Média complexidade;9772243 - CEO - Paranoá;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;1;21501
2022;4;Eletivo;Média complexidade;3055450 - CBV;0405050020 - CAPSULOTOMIA A YAG LASER;1;19315
2022;9;Eletivo;Média complexidade;3055450 - CBV;0405030045 - FOTOCOAGULACAO A LASER;4;20791
2022;3;Eletivo;Média complexidade;9621709 - Policlínica II Taguatinga;0404010318 - RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ;1;19080
2022;9;BPA-C;Média complexidade;9690719 - CEO - Sobradinho;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);52;20888
2022;10;BPA-C;Atenção Básica;0010529 - HRPl;0404010300 - RETIRADA DE CORPO ESTRANHO DA CAVIDADE AUDITIVA E NASAL;3;21034
2022;3;BPA-C;Média complexidade;9578560 - CEO-Ceilândia II;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);30;19072
2022;8;Eletivo;Alta complexidade;0010456 - HBDF;0418020035 - RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA;2;20321
2022;9;Eletivo;Alta complexidade;3459918 - Nephron Brasília;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;1;20805
2022;1;BPA-C;Média complexidade;9772243 - CEO - Paranoá;0414020073 - CURETAGEM PERIAPICAL;2;18576
